# spike raster log
# sample state timestep dm L0 L1 L2 L3 prediction match
sample=4 state=S_UPDATE timestep=6 dm=01 L0=00100000 L1=00000000 L2=00000000 L3=00000100 pred=-541984 match=0
sample=4 state=S_UPDATE timestep=7 dm=01 L0=01000110 L1=00000110 L2=00000000 L3=00000000 pred=-133952 match=0
sample=4 state=S_UPDATE timestep=8 dm=01 L0=00001001 L1=10100000 L2=00001000 L3=00000000 pred=-125888 match=0
sample=4 state=S_UPDATE timestep=9 dm=01 L0=00000000 L1=01000000 L2=01000101 L3=00110000 pred=-120256 match=0
sample=4 state=S_DONE timestep=10 dm=01 L0=00000000 L1=00000000 L2=00010000 L3=10001011 pred=-113216 match=0
sample=5 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=00000000 L2=00010000 L3=10001011 pred=-512064 match=0
sample=5 state=S_UPDATE timestep=1 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=-969568 match=0
sample=5 state=S_UPDATE timestep=2 dm=01 L0=00100000 L1=00011110 L2=00000000 L3=00000000 pred=-924736 match=0
sample=5 state=S_UPDATE timestep=3 dm=01 L0=00001001 L1=00000000 L2=00100010 L3=00000000 pred=-882560 match=0
sample=5 state=S_UPDATE timestep=4 dm=01 L0=00000000 L1=11000000 L2=00000000 L3=00000000 pred=-841984 match=0
sample=5 state=S_UPDATE timestep=5 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=-802816 match=0
sample=5 state=S_UPDATE timestep=6 dm=01 L0=00000000 L1=00100000 L2=00000000 L3=00000000 pred=-766048 match=0
sample=5 state=S_UPDATE timestep=7 dm=01 L0=00000000 L1=00000000 L2=10000000 L3=00000000 pred=-730912 match=0
sample=5 state=S_UPDATE timestep=8 dm=01 L0=00101001 L1=00000000 L2=00000000 L3=01000000 pred=-697472 match=0
sample=5 state=S_UPDATE timestep=9 dm=01 L0=01000110 L1=01010110 L2=00000000 L3=00000000 pred=-569280 match=0
sample=5 state=S_DONE timestep=10 dm=01 L0=00000000 L1=10000001 L2=00011100 L3=00000000 pred=-542880 match=0
sample=6 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=10000001 L2=00011100 L3=00000000 pred=-521408 match=0
sample=6 state=S_UPDATE timestep=1 dm=01 L0=00000000 L1=00000000 L2=00000010 L3=00110100 pred=-497664 match=0
sample=6 state=S_UPDATE timestep=2 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=-89952 match=0
sample=6 state=S_UPDATE timestep=3 dm=01 L0=01001111 L1=00000000 L2=00000000 L3=00000000 pred=-86080 match=0
sample=6 state=S_UPDATE timestep=4 dm=01 L0=00100000 L1=01110110 L2=00000000 L3=00000000 pred=-82752 match=0
sample=6 state=S_UPDATE timestep=5 dm=01 L0=00000000 L1=00000000 L2=01100001 L3=00000000 pred=-77984 match=0
sample=6 state=S_UPDATE timestep=6 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00001010 pred=-74656 match=0
sample=6 state=S_UPDATE timestep=7 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=-1225536 match=0
sample=6 state=S_UPDATE timestep=8 dm=01 L0=00001001 L1=10000000 L2=00000000 L3=00000000 pred=-1169408 match=0
sample=6 state=S_UPDATE timestep=9 dm=01 L0=00000000 L1=01000000 L2=00000100 L3=00000000 pred=-1115616 match=0
sample=6 state=S_DONE timestep=10 dm=01 L0=00100000 L1=00000000 L2=00000000 L3=00000000 pred=-1065248 match=0
sample=7 state=S_UPDATE timestep=0 dm=01 L0=00100000 L1=00000000 L2=00000000 L3=00000000 pred=-1023104 match=0
sample=7 state=S_UPDATE timestep=1 dm=01 L0=01000110 L1=00000110 L2=00000000 L3=00000000 pred=-976384 match=0
sample=7 state=S_UPDATE timestep=2 dm=01 L0=00000000 L1=00011000 L2=10011010 L3=00000000 pred=-931680 match=0
sample=7 state=S_UPDATE timestep=3 dm=01 L0=00001001 L1=00000000 L2=00000000 L3=01100100 pred=-888608 match=0
sample=7 state=S_UPDATE timestep=4 dm=01 L0=00000000 L1=01000000 L2=00000000 L3=00000000 pred=-560352 match=0
sample=7 state=S_UPDATE timestep=5 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=-534080 match=0
sample=7 state=S_UPDATE timestep=6 dm=01 L0=00100000 L1=10100111 L2=00000000 L3=00000000 pred=-509632 match=0
sample=7 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00100100 L3=00000000 pred=-486720 match=0
sample=7 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00010001 pred=-464064 match=0
sample=7 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=519136 match=1
sample=7 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=496288 match=1
sample=8 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=476448 match=1
sample=8 state=S_UPDATE timestep=1 dm=00 L0=00001001 L1=00000000 L2=00000000 L3=00000000 pred=454496 match=1
sample=8 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=01010000 L2=00000000 L3=00000000 pred=434080 match=1
sample=8 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00010010 L3=00000000 pred=414368 match=1
sample=8 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=394784 match=1
sample=8 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=377312 match=1
sample=8 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=360032 match=1
sample=8 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=343008 match=1
sample=8 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=327328 match=1
sample=8 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=313056 match=1
sample=8 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=298016 match=1
sample=9 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=286432 match=1
sample=9 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=274080 match=1
sample=9 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=260576 match=1
sample=9 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=248224 match=1
sample=9 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=238624 match=1
sample=9 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=226144 match=1
sample=9 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=215712 match=1
sample=9 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=207328 match=1
sample=9 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=197152 match=1
sample=9 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=186656 match=1
sample=9 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=178496 match=1
sample=10 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=172992 match=1
sample=10 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=165312 match=1
sample=10 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=155968 match=1
sample=10 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=148544 match=1
sample=10 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=142656 match=1
sample=10 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=136512 match=1
sample=10 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=131424 match=1
sample=10 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=124512 match=1
sample=10 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=118048 match=1
sample=10 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=111904 match=1
sample=10 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=105760 match=1
sample=11 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=101152 match=1
sample=11 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=98336 match=1
sample=11 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=96544 match=1
sample=11 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=92000 match=1
sample=11 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=85856 match=1
sample=11 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=80256 match=1
sample=11 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=75264 match=1
sample=11 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=70272 match=1
sample=11 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=67584 match=1
sample=11 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=65920 match=1
sample=11 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=64896 match=0
sample=12 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=63936 match=0
sample=12 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=62848 match=0
sample=12 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=62464 match=0
sample=12 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=57856 match=0
sample=12 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=52864 match=0
sample=12 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=48224 match=0
sample=12 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=43456 match=0
sample=12 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=38464 match=0
sample=12 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=36544 match=0
sample=12 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=35264 match=0
sample=12 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=34112 match=0
sample=13 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=33152 match=0
sample=13 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=32192 match=0
sample=13 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=31808 match=0
sample=13 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=31424 match=0
sample=13 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=31040 match=0
sample=13 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=30656 match=0
sample=13 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=30272 match=0
sample=13 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=29888 match=0
sample=13 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=29504 match=0
sample=13 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=29120 match=0
sample=13 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=28736 match=0
sample=14 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=28416 match=0
sample=14 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=28032 match=0
sample=14 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=26496 match=0
sample=14 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=21504 match=0
sample=14 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=16640 match=0
sample=14 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=12032 match=0
